Energy		run272			s efficiency		run386			s efficiency		run387			s efficiency		run389			s efficiency
344.2811	0.000427245116324043	5.65170219032018E-06	0.00042393707127678	5.57213499527678E-06	0.000384482293601486	6.09661132573786E-06	0.000419038789017719	5.35112108427795E-06
411.126		0.000507008658686736	1.89674365946419E-05	0.000501689016068914	1.84685699377292E-05	0.000464586454206129	1.10080026551289E-05	0.000501986880183619	1.67318383341129E-05
443.965		0.000528366769990273	1.66241647242088E-05	0.000513144892947628	1.61147953946194E-05	0.000462981460576689	9.53490080252711E-06	0.000530375885920924	1.47712157071087E-05
778.903		0.000470680849471903	7.25572166651759E-06	0.000472885148664581	7.20994004032604E-06	0.000418229821569319	6.81048047372178E-06	0.000468545373201472	6.83572298582549E-06
867.39		0.000458912823232098	1.17961676495868E-05	0.000467288204325494	1.16159332296945E-05	0.00040637162112604	7.6386823534742E-06	0.000462372200380763	1.06739441308769E-05
964.055		0.000429874480891272	6.37940999967235E-06	0.000432830711834314	6.33422235477897E-06	0.000394914000897935	6.31847846681142E-06	0.000428806505254619	6.02570980379584E-06
1087.8045	0.000404273525746857	6.62290076318351E-06	0.000409006030885856	6.58925401445371E-06	0.000365061845810274	5.95136308097519E-06	0.000406068094560867	6.20412927173202E-06
1112.087	0.000410838213715224	6.26447915274468E-06	0.000400105572304434	6.05967479844629E-06	0.000368365361233301	5.96136673995121E-06	0.000399362891128582	5.78179826744898E-06
1212.97		0.000374428679427582	1.80771005358058E-05	0.000382662701548635	1.78931565515072E-05	0.000351208839740066	9.30460532021378E-06	0.000388540448292761	1.64101441081572E-05
1299.152	0.000376618239942025	1.3730075418755E-05	0.00037610683907773	1.32130846791169E-05	0.000321189440475478	7.53676690989176E-06	0.000368620209332111	1.22732917197757E-05
1408.022	0.000357420628090908	4.88859558957846E-06	0.000353493073156788	4.79499915051062E-06	0.000318842596350391	5.07651088676807E-06	0.000352597121955619	4.63197041662769E-06

