RUN                                       E               A               Error               I           Error               Efficiency                  Error
Run272_152Eu_SEG5414.amplitude2          121.78          73957          289.377            0.2837          0.0013            0.0012705983            0.00002660728742833064
Run272_152Eu_SEG5414.amplitude2          244.70          21318          176.742            0.0753          0.0004            0.0013798752            0.00003082909600756704
Run272_152Eu_SEG5414.amplitude2          344.28          60535          261.492            0.2657          0.0011            0.0011104610            0.00002324041838646099
Run272_152Eu_SEG5414.amplitude2          411.13          4512          95.7649            0.02238          0.00010            0.0009826466            0.00002902805852719848
Run272_152Eu_SEG5414.amplitude2          443.97          5996          107.524            0.03125          0.00014            0.0009351902            0.00002550613987019841
Run272_152Eu_SEG5414.amplitude2          778.9          16836          144.601            0.1297          0.0006            0.0006326846            0.00001411008327113922
Run272_152Eu_SEG5414.amplitude2          867.39          5110          99.434            0.04214          0.00025            0.0005910370            0.00001688385961971894
Run272_152Eu_SEG5414.amplitude2          964.06          16413          137.645            0.1463          0.0006            0.0005468043            0.00001209609868938583
Run272_152Eu_SEG5414.amplitude2          1085.84          10608          110.464            0.1013          0.0005            0.0005104020            0.00001180570534177905
Run272_152Eu_SEG5414.amplitude2          1112.09          13997          126.511            0.1354          0.0006            0.0005038539            0.00001130630392118507
Run272_152Eu_SEG5414.amplitude2          1212.97          1316          50.5879            0.01412          0.00004            0.0004542652            0.00001973789787845211
Run272_152Eu_SEG5414.amplitude2          1299.15          1396          43.6763            0.01626          0.0003            0.0004184593            0.00001736216728496852
Run272_152Eu_SEG5414.amplitude2          1408.02          18162          135.893            0.2085          0.0009            0.0004245667            0.00000927097404244346
