Energy	run272		run386		run387		run389	
344.2811	0.00111801980021784	1.30896202239809E-05	0.00112460541897305	1.31051475836397E-05	0.00101463104050748	1.58767539319026E-05	0.00111778638667467	1.28592160370439E-05
411.126	0.00101272598889953	2.4835453131068E-05	0.000969112749529297	2.40032169758806E-05	0.000904222966276363	1.65594391018216E-05	0.000983390402399759	2.22071540254793E-05
443.965	0.000944792458566344	1.96695230839586E-05	0.000940607801055405	1.93131276277434E-05	0.000832430317084017	1.44783989038507E-05	0.000929122106988106	1.78418672500165E-05
778.903	0.000641837865454136	8.99477379173264E-06	0.000637029118718161	8.85323359187094E-06	0.000573692676852037	9.21322527754234E-06	0.000627165701822843	8.44114376511351E-06
867.39	0.000601324871952646	1.34771256939562E-05	0.000602704848588538	1.32923430775401E-05	0.000544816492924395	9.71416143850644E-06	0.000598024028668912	1.22542020942459E-05
964.055	0.000561002290482191	7.69093482301728E-06	0.000551513587878337	7.53245348867835E-06	0.000509921542523633	8.10502633019417E-06	0.000556618306179541	7.30827645250065E-06
1087.8045	0.000513407178567567	7.71465224233495E-06	0.000514545960730777	7.61044539026617E-06	0.000465029019637568	7.49097308445634E-06	0.000509743234957582	7.23700893490567E-06
1112.087	0.000513845342975284	7.34086431797354E-06	0.000503224341549131	7.17843454361415E-06	0.000457556035320549	7.34162520355497E-06	0.000511199553367574	6.97056937266369E-06
1212.97	0.00048298514288597	1.96106082196782E-05	0.00050587532890943	1.92457852039248E-05	0.00041740790931475	9.96623860276903E-06	0.000473552285308454	1.72575083803472E-05
1299.152	0.000434288142092553	1.45681157480461E-05	0.000459037989787234	1.45386500148424E-05	0.000403161752702257	8.58689409341574E-06	0.000469185256089953	1.33985601294845E-05
1408.022	0.000430155645383419	5.69963430751541E-06	0.000440412967458195	5.77363741308567E-06	0.000388397134108864	6.15838612625739E-06	0.000433668891334881	5.5234186183839E-06

